execution_run_id,depth,budget,method_a,method_b,metric,n_graphs,difference,mean_difference,ci_low,ci_high,smaller_is_better,interval
study-cc25ae93d418f22101d4,1,32768,uniform_iso,shuffled_gw,capped_target_shots,24,a_minus_b,-1365.3333333333333,-4096.0,0.0,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,shuffled_gw,optimization_shots,24,a_minus_b,35.55555555555551,-35.55555555555551,113.77777777777767,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,shuffled_gw,optimization_calls,24,a_minus_b,0.5555555555555557,-0.555555555555555,1.777777777777778,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,shuffled_gw,optimization_jobs,24,a_minus_b,0.20833333333333334,-0.20833333333333334,0.6666666666666666,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,bad_prior,objective,24,a_minus_b,-0.08978731801056715,-0.1171706328603906,-0.06295118441172678,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,bad_prior,expected_ratio,24,a_minus_b,0.11145939868781318,0.07908539389675825,0.1437222458495133,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,bad_prior,signed_reference_gap,24,a_minus_b,-0.08978731801056715,-0.1171706328603906,-0.0629511844117268,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,bad_prior,success_fraction,24,a_minus_b,0.6666666666666666,0.4583333333333333,0.8333333333333334,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,bad_prior,capped_target_shots,24,a_minus_b,-23466.666666666668,-28117.333333333332,-17653.333333333332,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,bad_prior,optimization_shots,24,a_minus_b,-56.888888888888836,-199.111111111111,85.33333333333333,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,bad_prior,optimization_calls,24,a_minus_b,-0.888888888888889,-3.111111111111111,1.3333333333333333,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,bad_prior,optimization_jobs,24,a_minus_b,-0.3333333333333333,-1.1666666666666667,0.5,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,no_repair,objective,24,a_minus_b,0.003929125131946483,0.0023063649797121786,0.005676538487022353,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,no_repair,expected_ratio,24,a_minus_b,-0.005257429888077934,-0.007691531636269835,-0.002997973044936897,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,no_repair,signed_reference_gap,24,a_minus_b,0.003929125131946483,0.0023063649797121786,0.005676538487022353,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,no_repair,success_fraction,24,a_minus_b,0.0,0.0,0.0,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,no_repair,capped_target_shots,24,a_minus_b,0.0,0.0,0.0,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,no_repair,optimization_shots,24,a_minus_b,42.66666666666682,-28.444444444444343,120.88888888888914,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,no_repair,optimization_calls,24,a_minus_b,0.6666666666666664,-0.44444444444444525,1.888888888888889,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,no_repair,optimization_jobs,24,a_minus_b,0.25,-0.16666666666666666,0.7083333333333334,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_radius,objective,24,a_minus_b,0.003929125131946483,0.0023063649797121786,0.005676538487022353,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_radius,expected_ratio,24,a_minus_b,-0.005257429888077934,-0.007691531636269835,-0.002997973044936897,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_radius,signed_reference_gap,24,a_minus_b,0.003929125131946483,0.0023063649797121786,0.005676538487022353,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_radius,success_fraction,24,a_minus_b,0.0,0.0,0.0,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_radius,capped_target_shots,24,a_minus_b,0.0,0.0,0.0,True,unadjusted 95 percent paired graph percentile bootstrap
