execution_run_id,depth,budget,method,n_graphs,n_runs,resampling_unit,objective_mean,objective_ci_low,objective_ci_high,expected_ratio_mean,expected_ratio_ci_low,expected_ratio_ci_high,signed_reference_gap_mean,signed_reference_gap_ci_low,signed_reference_gap_ci_high,success_fraction_mean,success_fraction_ci_low,success_fraction_ci_high,capped_target_shots_mean,capped_target_shots_ci_low,capped_target_shots_ci_high,optimization_shots_mean,optimization_shots_ci_low,optimization_shots_ci_high,optimization_calls_mean,optimization_calls_ci_low,optimization_calls_ci_high,optimization_jobs_mean,optimization_jobs_ci_low,optimization_jobs_ci_high,validation_shots_mean,validation_shots_ci_low,validation_shots_ci_high,validation_calls_mean,validation_calls_ci_low,validation_calls_ci_high,validation_jobs_mean,validation_jobs_ci_low,validation_jobs_ci_high,total_shots_mean,total_shots_ci_low,total_shots_ci_high,total_calls_mean,total_calls_ci_low,total_calls_ci_high,total_jobs_mean,total_jobs_ci_low,total_jobs_ci_high,optimization_seconds_mean,optimization_seconds_ci_low,optimization_seconds_ci_high
study-cc25ae93d418f22101d4,1,32768,random_iso,24,72,graph mean over shot repetitions,-0.5418160175359373,-0.5533262931813457,-0.5300482840187801,0.6750440773245802,0.6553143918880573,0.6963273770334121,0.09921738606285535,0.08874396852493462,0.10969101544367041,0.125,0.05555555555555555,0.20833333333333334,30360.888888888887,28604.44444444445,31889.77777777778,31765.333333333332,31623.111111111113,31857.77777777778,31.333333333333332,30.5,32.27777777777778,13.513888888888891,13.180555555555557,13.888888888888891,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,48149.333333333336,48007.1111111111,48241.777777777774,32.333333333333336,31.5,33.27777777777778,14.513888888888891,14.180555555555557,14.888888888888891,0.007754030708408917,0.006554543134115597,0.008947767750017495
study-cc25ae93d418f22101d4,1,32768,shuffled_gw,24,72,graph mean over shot repetitions,-0.6321609124564399,-0.6461992415692057,-0.6162581786283605,0.7870256038143131,0.7630954846658129,0.807280908648578,0.008872491142352853,0.0020747491074127452,0.021339557773588293,0.9583333333333334,0.875,1.0,1365.3333333333333,0.0,4096.0,31822.222222222223,31765.333333333332,31886.222222222223,31.222222222222218,30.333333333333332,32.22222222222222,13.458333333333334,13.125,13.833333333333334,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,48206.22222222222,48149.333333333336,48270.222222222226,32.22222222222222,31.333333333333332,33.22222222222222,14.458333333333334,14.125,14.833333333333334,0.0077372674027805675,0.006568647038922234,0.008924676971807344
study-cc25ae93d418f22101d4,1,32768,spsa,24,72,graph mean over shot repetitions,-0.6404965521830236,-0.6511417371507259,-0.6294601845687036,0.7971065700407349,0.7816903144155479,0.812848281281304,0.0005368514157690738,0.0001989632953626905,0.0009529559149153631,1.0,1.0,1.0,0.0,0.0,0.0,30720.0,30720.0,30720.0,30.0,30.0,30.0,20.0,20.0,20.0,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,47104.0,47104.0,47104.0,31.0,31.0,31.0,21.0,21.0,21.0,0.006935847236048984,0.005745088725614918,0.00812238429605985
study-cc25ae93d418f22101d4,1,32768,uniform_iso,24,72,graph mean over shot repetitions,-0.6362336329891747,-0.6485015802392501,-0.6233638172213267,0.7914040182225061,0.7772002773014869,0.8059542403453906,0.00479977060961798,0.0027387902512611417,0.007123108839769609,1.0,1.0,1.0,0.0,0.0,0.0,31857.77777777778,31786.666666666668,31943.111111111113,31.777777777777775,30.666666666666668,33.11111111111111,13.666666666666666,13.25,14.166666666666666,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,48241.777777777774,48170.666666666664,48327.1111111111,32.77777777777778,31.666666666666668,34.11111111111111,14.666666666666666,14.25,15.166666666666666,0.008206676499968226,0.006899095137781804,0.009528728063168995
study-cc25ae93d418f22101d4,1,131072,bad_prior,24,72,graph mean over shot repetitions,-0.5502252929239787,-0.5772690779011761,-0.5246104564133132,0.6842786007280334,0.6542807197431553,0.7154192613172752,0.09080811067481405,0.06489707728901666,0.11616185461673954,0.3333333333333333,0.16666666666666666,0.5416666666666666,89002.66666666667,62709.333333333336,110037.33333333333,131072.0,131072.0,131072.0,62.0,62.0,62.0,27.0,27.0,27.0,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,147456.0,147456.0,147456.0,63.0,63.0,63.0,28.0,28.0,28.0,0.015209046236122958,0.012813938457296418,0.017580229852161563
study-cc25ae93d418f22101d4,1,131072,cobyla,24,72,graph mean over shot repetitions,-0.639464529551216,-0.6500005932398957,-0.6286390838426629,0.7958464641567767,0.7804227843249297,0.8115388621788411,0.0015688740475766627,0.0011528705764071673,0.0020187522819585494,1.0,1.0,1.0,0.0,0.0,0.0,16640.0,16170.666666666666,17152.0,16.25,15.791666666666666,16.75,16.25,15.791666666666666,16.75,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,33024.0,32554.666666666668,33536.0,17.25,16.791666666666668,17.75,17.25,16.791666666666668,17.75,0.009922622013909354,0.009283175968757796,0.010553088497572262
study-cc25ae93d418f22101d4,1,131072,descriptor_iso,24,72,graph mean over shot repetitions,-0.6401627581211212,-0.6509128277957774,-0.628934895390453,0.7966614481105839,0.7813012968574496,0.8123268181124712,0.0008706454776714981,0.0003324330183883687,0.0015643921027967418,1.0,1.0,1.0,0.0,0.0,0.0,131072.0,131072.0,131072.0,62.0,62.0,62.0,27.0,27.0,27.0,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,147456.0,147456.0,147456.0,63.0,63.0,63.0,28.0,28.0,28.0,0.015385784694368946,0.012912928424877476,0.017842317213093557
study-cc25ae93d418f22101d4,1,131072,descriptor_shape,24,72,graph mean over shot repetitions,-0.6401627581211212,-0.6509128277957774,-0.628934895390453,0.7966614481105839,0.7813012968574496,0.8123268181124712,0.0008706454776714981,0.0003324330183883687,0.0015643921027967418,1.0,1.0,1.0,0.0,0.0,0.0,131072.0,131072.0,131072.0,62.0,62.0,62.0,27.0,27.0,27.0,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,147456.0,147456.0,147456.0,63.0,63.0,63.0,28.0,28.0,28.0,0.01533435352778017,0.012877141051054903,0.017785103603355248
study-cc25ae93d418f22101d4,1,131072,fixed_radius,24,72,graph mean over shot repetitions,-0.6401627581211212,-0.6509128277957774,-0.628934895390453,0.7966614481105839,0.7813012968574496,0.8123268181124712,0.0008706454776714981,0.0003324330183883687,0.0015643921027967418,1.0,1.0,1.0,0.0,0.0,0.0,129280.0,127669.24444444444,130293.33333333333,228.55555555555557,208.29131944444444,250.6951388888889,95.44444444444444,88.01388888888887,103.56944444444444,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,145664.0,144053.24444444446,146677.33333333334,229.55555555555557,209.29131944444444,251.6951388888889,96.44444444444444,89.01388888888887,104.56944444444444,0.05754028931945262,0.04764625767017681,0.0683177945014301
study-cc25ae93d418f22101d4,1,131072,fixed_shots,24,72,graph mean over shot repetitions,-0.6401627581211212,-0.6509128277957774,-0.628934895390453,0.7966614481105839,0.7813012968574496,0.8123268181124712,0.0008706454776714981,0.0003324330183883687,0.0015643921027967418,1.0,1.0,1.0,0.0,0.0,0.0,66304.0,66304.0,66304.0,5.0,5.0,5.0,2.0,2.0,2.0,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,82688.0,82688.0,82688.0,6.0,6.0,6.0,3.0,3.0,3.0,0.0013127898473233774,0.0011208905143468605,0.0015024785056586627
